BCI-AV#|English|Derivation - explanation|POS
14710|hide,conceal-(to)|(to make + minus + to see + action indicator: to make invisible)|RED
14711|high,tall|(height,tallness + description indicator: the space between the reference lines is the highest possible within the symbol square)|GREEN
14712|hill|(mountain + little: small mountain)|YELLOW
14713|hip|(legs and feet + pointer, to hip) - Character (superimposed - pointer)|YELLOW
14714|hippopotamus|"(animal_(water) + horse [combination]: taken from Greek, ""horse of the river"", an animal that spends much time in water) - Character (superimposed - combined)"|YELLOW
14715|his|(he + belongs to: third person (m.sing.) possessive)|BLUE
14716|his,her,hers,one's|(he,she,him,her,one + belongs to: third person (sing.) possessive, unmarked for gender)|BLUE
14717|hit-(to)|(to touch + intensity + intensity + action indicator: to use the hand forcefully)|RED
14718|hobby,pastime|(activity + interesting)|YELLOW
14881|hoist,lift|(aid + up and down + thing indicator)|YELLOW
14882|hold,contain_(1)-(to)|(container + action indicator)|RED
14883|hole|(earth [half-sized] + container_(low) + earth [half-sized]: symbol suggests a hole in the ground) - Character (superimposed - modified)|YELLOW
14884|holiday,festival|(day + happy: day for happy activities)|YELLOW
14885|home|(house + feeling: house to which one is emotionally tied)|YELLOW
14886|home_run|(4 + corner: a run around all four bases in baseball)|YELLOW
14887|homosexuality_(female),lesbianism|(feeling + couple_(female): intimate sexual relationship between two women)|YELLOW
14888|homosexuality_(male)|(feeling + couple_(male): intimate sexual relationship between two men)|YELLOW
14889|honey_(spread)|(spread + flower: spread obtained from the nectar of flowers)|YELLOW
14890|honey_(food)|(food + flower: food obtained from the nectar of flowers)|YELLOW
14891|hook,hanger|(pictograph) - Character|YELLOW
14892|hop-(to)|(1 + foot + action indicator: to go on one foot)|RED
14893|hope-(to)|(hope + action indicator: to have a happy feeling about the future despite its uncertainties)|RED
14894|horizon|(early morning + pointer to horizon) - Character (superimposed - pointer)|YELLOW
14895|trumpet,horn,cornet_(1)|(pictograph) - Character SYMBOL SYNONYM|YELLOW
14896|horn(s)|(animal_(bovine,ovine),bovid,bovine + pointer, to horns) - Character (superimposed - pointer)|YELLOW
14897|horse|(animal + pictograph of horse's head and neck) - Character (superimposed)|YELLOW
14898|horseradish|(vegetable (wedge-shaped) + hot,spicy,peppery: wedge-shaped vegetable with a hot-tasting edible root)|YELLOW
14899|hospital,clinic|(building + medical: building where medical services are available)|YELLOW
14900|hot_(temperature)|(heat + description indicator)|GREEN
14901|hot,spicy,peppery|(taste + fire + description indicator)|GREEN
14902|hot_dog,frankfurter|(roll + meat + long)|YELLOW
14903|hotel,motel|(building + person + to travel: building where travellers stay)|YELLOW
14904|hour,o'clock|(time + degree, to indicate an hour)|YELLOW
14905|house,building,dwelling,residence|(foundation + protection: pictograph of the outline of a house.The symbol can also be explained as: combination of enclosure and protection.) - Character (superimposed)|YELLOW
14906|how|(who,that,which-(relative) + action)|WHITE
14907|how-(question)|(what,question_mark + action: interrogative)|WHITE
14908|how_much,how_many|(what,question_mark + quantity)|WHITE
14909|hug,cuddle,embrace-(to)|(hug,squeeze,embrace + action indicator)|RED
14910|humble,meek|(feeling + inferior + description indicator: lacking a feeling of pride)|GREEN
14911|hummus|(spread + bean: Middle Eastern spread made from chick-peas)|YELLOW
14912|hungry|(feeling + minus + food + description indicator: having a feeling caused by the lack of food)|GREEN
14913|hurt,pain_(feel),suffer-(to)|(pain + action indicator)|RED
14914|husband|(man + protection: this symbol, joined to the symbol for wife, produces family) - Character (superimposed)|BLUE
14915|hysterectomy|(to remove + medical + uterus)|YELLOW
14916|I,me,myself|(person + 1: the first person singular)|BLUE
14917|I,me,myself-(feminine)|(female + l: first person singular (f.))|BLUE
14918|I,me,myself-(masculine)|(male + 1: first person singular (m.))|BLUE
14919|ice|(water + thing: water transformed into a solid thing) - Character (superimposed)|YELLOW
14920|ice_cream_(OLD)|(food + sweet + ice: sweet frozen food) SUPERSEDED SYNONYM See ice_cream,sherbet,sorbet 22369 (and ice_cream_(cone) 14921, ice_cream_(bar) 22370, and ice_cream_(lollipop) 22366)|YELLOW
14921|ice_cream_(cone)|(pictograph) - Character|YELLOW
14922|ice_hockey_(activity)|(activity + sport_stick_and_puck,hockey_stick + ice: game played on ice with a stick and a rubber disc)|YELLOW
14923|Iceland|(country + ice + fire: country characterized by ice and fiery volcanoes)|YELLOW
14924|ice_skates|(legs and feet + pictograph of two curved lines, suggesting skates) - Character (superimposed)|YELLOW
14925|icy,frozen|(ice + description indicator)|GREEN
14926|idea,thought|(mind + down: a thought issuing from the mind) - Character (superimposed)|YELLOW
14927|if|(what,question_mark + either)|WHITE
14929|immoral,bad,wrong,morally_wrong|(bad_conscience + intensity + description indicator: morally wrong or bad) See also: bad,wrong 12615 and incorrect,bad,inaccurate,wrong 14935.|GREEN
14930|important,significant|(importance,significance + description indicator: of intense interest)|GREEN
14931|improve-(to)_(OLD)|(to cause + more + correct + action indicator: to cause to be better, in a rational sense.) |RED
14932|in,inside,interior,internal|(enclosure + dot, inside the enclosure) - Character (superimposed)|WHITE
14933|incest|(sexual intercourse + relative)|YELLOW
14934|include-(to)|(inside + action indicator)|RED
14935|incorrect,bad,inaccurate,wrong|(incorrect_thinking + intensity + description indicator: thought to be wrong or bad in a rational sense) See also: bad,wrong 12615 and immoral,bad,wrong,morally_wrong 14929.|GREEN
14936|increase,enlarge-(to)|(big + action indicator: to become bigger)|RED
14937|Independence_Day_(Israel)|(day + Israel) (Israel)|YELLOW
14938|indigo|(colour + 6) (CKB)|WHITE
14939|infertile,sterile|(without + fertilization + description before the fact indicator: incapable of conception)|GREEN
14940|infinite,limitless_(OLD)|(infiniteness,boundlessness,limitlessness_(OLD) + description indicator) SUPERSEDED SYNONYM See infinite,limitless 26010|GREEN
14941|injection,inoculation,shot|(pictograph of hypodermic syringe) - Character|YELLOW
14942|injure,hurt-(to)|(to cause + pain + action indicator)|RED
14943|insect,bug|(pictograph: symbol suggests a creature with six legs) - Character|YELLOW
14944|insect_(pest)|(insect + negative: undesirable insect, a pest)|YELLOW
14945|instruction,teaching|(to give + knowledge)|YELLOW
14946|instruction(s),direction(s)|(page + to use: paper that tells one how to use something)|YELLOW
14947|intensity|(exclamation mark: used following another symbol to enhance meaning in a qualitative way) - Character|WHITE
14948|interesting,interested|(interest + description indicator: engaging the mind)|GREEN
14949|international|(country + all + description indicator)|GREEN
14950|intimacy,closeness|(feeling + close)|YELLOW
14951|intimate,close|(intimacy + description indicator)|GREEN
14952|into,entrance|(forward + enclosure: the arrow is entering the enclosure) - Character (superimposed)|WHITE
14953|invent-(to)|(plan + first + action indicator: to plan for the first time)|RED
14954|Ireland|(country + shamrock)|YELLOW
14955|iron,smoothing_iron|(pictograph) - Character|YELLOW
14956|iron-(to)|(iron + action indicator)|RED
14957|ironing_board|(table + iron)|YELLOW
14958|island|(water_(ground_level) + earth + water_(ground_level): land surrounded by water on ground level) - Character (superimposed)|YELLOW
14959|Israel|(country + Star of David)|YELLOW
14960|it,itself|(CKB says that this symbol is derived from small. The symbol also looks like the top part of the symbols for man and woman minus the specific gender parts. It refers to things rather than to people.) - Character|WHITE
14961|apparent(ly),clear(ly),evident(ly),obvious(ly),plain(ly)|(understanding,comprehension + through + description indicator)|GREEN
14962|its|(it,itself + belongs to: refers to things rather than to people) |WHITE
14963|intrauterine_device,IUD|(birth control + uterus)|YELLOW
14964|Iyar|(month + Israel: month of Independence Day)|YELLOW
14965|jam,jelly,marmalade,preserves|(spread + fruit)|YELLOW
14966|January|(month + 1: first month of the year)|YELLOW
14967|jealous|(to resent + other + to have + description indicator)|GREEN
14968|Jerusalem_Day|(day + city + first) (Israel)|YELLOW
14969|Jesus_(of_Nazareth),Jesus_Christ,Christ|(man + cross: a man regarded by Christians as being the Son of God, who died on the cross - biblical figure)|BLUE
14970|jet,jet_plane|(plane + out of: plane driven forward by expelling gas)|YELLOW
14971|jewel,gem,gemstone|(stone + to shine)|YELLOW
14972|Jewish|(Star of David + description indicator: having to do with Judaism, for which the Star of David is a symbol)|GREEN
14973|joint|(bones with joint + pointer to the junction where they meet) - Character (superimposed - sequenced - pointer)|YELLOW
14974|joke_(spoken)-(to)|(to say + comma + funny + action indicator: to say something in order to be funny)|RED
15137|July|(month + 7: seventh month of the year)|YELLOW
15138|jump_rope,skipping_rope|(linear thing + to jump + thing indicator)|YELLOW
15139|jump-(to)|(jump + action indicator)|RED
15140|June|(month + 6: sixth month of the year)|YELLOW
15141|Kabbalat_Shabbat|(greeting + Sabbath: ceremony to welcome the Sabbath)|WHITE
15142|Kali|(god + black: Hindu goddess) (India)|BLUE
15143|keep,preserve,save-(to)|(to hold + future + action indicator: to hold for the future)|RED
15144|key|(pictograph: symbol suggests a key) - Character|YELLOW
15145|kibbutz|(village + to work + to live + together: collective settlement ) (Israel)|YELLOW
15146|kick-(to)|(leg_and_foot + intensity + action indicator: to move legs and feet forcefully)|RED
15147|kiddush,blessing_over_wine|(prayer + wine: blessing over wine)|YELLOW
15148|kill,murder-(to)|(to cause + to die + action indicator)|RED
15149|kind,kindly|(feeling + help + description indicator: feeling of wanting to be helpful)|GREEN
15151|Kislev|(month + happy + light: month of Chanukah)|YELLOW
15152|kiss|(mouth + mouth: two mouths touching) - Character (superimposed)|YELLOW
15153|kiss-(to)|(kiss + action indicator)|RED
15154|kitchen|(room + to prepare food)|YELLOW
15155|kite|(pictograph) - Character|YELLOW
15156|kitten_(OLD)|(cat + baby) SUPERSEDED SYNONYM See kitten 24474|YELLOW
15157|knee|(kneeling_(kneeling_person) + pointer, to knee joint) - Character (superimposed - pointer)|YELLOW
15158|kneel-(to)|(kneeling_(kneeling_person) + action indicator)|RED
15159|knife,sword|(pictograph: symbol suggests a knife or sword. The diagonal orientation of knife is the same as that of fork and spoon.) - Character|YELLOW
15160|knit-(to)|(to make + cloth + 2 + linear thing + thing indicator + action indicator: to make cloth using two linear things, i.e., knitting needles)|RED
15161|know-(to)|(knowledge + action indicator)|RED
15162|knowledge,class_(in_combinations)|(mind + enclosure [combination]: store house of the mind) - Character|YELLOW
15163|koala|(marsupial_(animal) + tree: marsupial adapted to living in trees)|YELLOW
15164|eyeliner,kohl|(colour + plus + eyelid_(lower): eye make-up,traditionally used by women in African, Middle East, and Eastern cultures)|YELLOW
15165|labour|(work + birth)|YELLOW
15166|ladder|(pictograph) - Character|YELLOW
15167|Lag_B'Omer|(night + comma + bonfire)|YELLOW
15168|lake,pond|(much + water: body of water)|YELLOW
15169|Lakshmi|(God + money: Hindu goddess) (India)|BLUE
15170|lamb,mutton|(food + sheep: food that comes from a lamb or sheep. The symbol also can be explained as: combination of meat and sheep.)|YELLOW
15171|landing,airplane_landing|(airplane + downward and forward)|YELLOW
15172|language|(mouth + ear: what is spoken and heard) - Character (superimposed)|YELLOW
15173|last,final|(opposite meaning + first + description indicator)|GREEN
15174|last_night|(night + ago,then_(past))|YELLOW
15175|last_week|(week + ago,then_(past))|YELLOW
15176|last_year|(year + ago,then_(past))|YELLOW
15177|late|(after + time + description indicator: after the appointed time)|GREEN
15178|laugh-(to)|(laugh,laughter + action indicator: to express happiness with the mouth by laughing)|RED
15179|laundromat,launderette,laundry|(public room + bath,washing + clothing)|YELLOW
15180|lawn,meadow|(grass + earth: land covered with grass) - Character (superimposed)|YELLOW
15181|lead,direct,guide-(to)|(leadership,guidance + action indicator: to use mental powers to carry events or persons forward)|RED
15182|leader,director,guide_(2)|(person + leadership)|BLUE
15183|leaf|(pictograph) - Character|YELLOW
15184|learn-(to)|(to receive + knowledge + action indicator)|RED
15185|fewest,least,minimum|(opposite meaning + most + description indicator)|GREEN
15186|leather|(material + animal skin: material made from an animal skin)|YELLOW
15187|left|(left_turn,left_(position_or_direction) + description indicator)|GREEN
15188|leg|(legs and feet + pointer, to leg) - Character (superimposed - pointer)|YELLOW
15189|legs_and_feet|(pictograph: symbol suggests a side view of a pair of legs and feet) - Character|YELLOW
15190|lemon|(pictograph: suggests a lemon with stem) - Character|YELLOW
15191|lemonade|(drink + lemon)|YELLOW
15192|lend,loan-(to)|(to give + limited time + action indicator: to give for a limited time)|RED
15193|length,longness|(horizontal line bounded by two reference lines [half-sized]: the horizontal line extends full length within the symbol square) - Character|YELLOW
15194|leopard|(feline + spot: feline with spots)|YELLOW
15195|fewer,less|(opposite meaning + more + description indicator)|GREEN
15196|let,allow,permit-(to)|(permission,allowance + action indicator: CKB says that the symbol represents a thought that is allowed to pass through a mental barrier)|RED
15197|let_us,let's|"(command + to let + us + action indicator + plural indicator: the first person plural imperative of ""to let"")"|RED
15198|letter,mail,post|(pictograph: symbol suggests an envelope) - Character|YELLOW
15199|letter_carrier,postman,mailman|(person + letter)|BLUE
15200|lettuce,leafy_vegetable|(earth + outline of leaves: symbol suggests a leafy vegetable with the grass-like edible portion above ground) - Character (superimposed)|YELLOW
15201|library_(building)|(building + book: building that contains a collection of books)|YELLOW
15202|library_(room)|(room + book: room that contains a collection of books)|YELLOW
15203|lie_(OLD)|(opposite meaning + truth) SUPERSEDED SYNONYM See lie 23894|YELLOW
15204|lie-(to)_(OLD)|(lie + action indicator) SUPERSEDED SYNONYM See lie-(to) 23895|RED
15205|lie_down,lie-(to)|(reclining,lying_(person_lying_down) + action indicator)|RED
15206|life|(sun + person, in combination: energy produced by the sun supports life on earth) - Character (superimposed)|YELLOW
15207|lift,raise-(to)|(up + weight + action indicator: to raise a weight)|RED
15208|light|(sun + eye: we see by the light of the sun) - Character (superimposed)|YELLOW
15209|lightning|(sky + electricity: electricity that comes from the sky) - Character (superimposed)|YELLOW
15210|like-(to)|(goodness + action indicator: to have a positive or good feeling toward someone or something)|RED
15211|lime|(citrus fruit + green)|YELLOW
15212|limited_time,interval,period,awhile,for_a_while|(time + limit(s)) - Character (superimposed)|YELLOW
15213|limit(s),limitation_(OLD)|(two reference lines on the vertical boundaries of the symbol for enclosure, limiting what lies between them) - Character (sequenced) SUPERSEDED SYNONYM and SUPERSEDED CHARACTER See limit(s),limitation,restriction 25579|YELLOW
15214|line,stripe|(symbol is a full-sized vertical line) - Character|YELLOW
15215|linear,straight|(line + description indicator)|GREEN
15216|linear_thing|(line + thing indicator) |YELLOW
15217|lion|(feline + mane_(lion_etc): male of the species has a mane)|YELLOW
15218|lip(s)|(mouth + pointer, from above + pointer, from below: the pointers indicating the lips) - Character (superimposed - pointer) |YELLOW
15219|lipstick|(colour + plus + lips: colour added to lips)|YELLOW
15220|list,inventory|(paper + many + thing: written record of many things)|YELLOW
15221|little,small|(vertical line [half-sized] bounded by two horizontal reference lines [half-sized] + description indicator: the vertical line is relatively little) See also: big,large 12835.|GREEN
15222|live_(life)-(to)|(life + action indicator)|RED
15223|live,dwell,reside-(to)|(house + action indicator)|RED
15224|living_room,lounge,sitting_room,front_room,parlor,parlour,waiting_room|(room + chair: room where one can sit)|YELLOW
15226|crab,shellfish_(with_claws)|(pictograph: symbol suggests a crustacean with pincers) - Character|YELLOW
15227|lock-(to)|(key + action indicator)|RED
15228|lonely,lonesome|(feeling + minus + person + description indicator: feeling of being without companionship)|GREEN
15229|long|(length + description indicator)|GREEN
15230|longer|(more + long + description indicator)|GREEN
15393|longest|(most + long + description indicator)|GREEN
15394|lose_(fail_to_keep)-(to)|(opposite meaning + to find + action indicator)|RED
15395|lose_(fail_to_win)-(to)_(OLD)|(opposite meaning + to win + action indicator) SUPERSEDED SYNONYM See lose_(fail_to_win)-(to) 23897|RED
15396|loss_(emotional)|(feeling + to take away: emotional response to the loss of someone or something)|YELLOW
15397|loud,noisy|(noise_(loud) + description indicator)|GREEN
15398|lovable|(love + description before the fact indicator)|GREEN
15399|love,affection|(feeling + arrow [modification, prolonged and as if partly hidden]: feeling as if an arrow is piercing one's heart) - Character (superimposed - modified)|YELLOW
15400|love-(to)|(love + action indicator)|RED
15401|low,short|(lowness,shortness_(height) + description indicator: the space between the reference lines is relatively low) See also: high,tall 14711 and short 16962.|GREEN
15402|luck,fortune|"(feeling + addition: having a ""big plus"" or advantage)"|YELLOW
15403|lucky,fortunate|"(luck + description after the fact indicator: feeling one has a ""big plus"" or advantage)"|GREEN
15404|lulav|(3 + branch + Sukkot)|YELLOW
15405|lunch,dinner|(meal + 2: second meal of the day)|YELLOW
15406|machine,appliance,engine,motor|(sun + wheel: the sun provides the energy that drives the wheels of machinery) - Character (superimposed)|YELLOW
15407|magazine,journal|(book + often: book that is published at frequent intervals)|YELLOW
15408|mail,post-(to)|(mail + action indicator)|RED
15409|mailbox,letterbox,postbox|(enclosure + letter)|YELLOW
15410|make,manufacture,produce-(to)|(making,production,fashioning + action indicator: imperfect version of creation, represents man-made)|RED
15411|make-believe,pretend,imaginary|(fantasy,phantasy,imagination,illusion + description indicator: to let one's mind soar into the sky, or up into the clouds)|GREEN
15412|maker,manufacturer,producer|(person + to make)|BLUE
15413|makeup|(colour + plus + face: colour added to the face)|YELLOW
15414|male,masculine_(person)|(man + description indicator)|GREEN
15416|man,male|(person [modification] + action [combination]: CKB says man embodies the action principle in society. The symbol also looks like a stick figure of a man wearing trousers. See also: activity,male_gender_(in_combinations) 12335, and male,masculine_(person) 15414.) - Character (superimposed - modified - combined)|BLUE
15417|male_genitals_(man_with_penis)|(standing_(standing_person) + pictograph of penis: used as the base character for penis) - Character (superimposed)|BLUE
15418|manager,secretary|(person + to plan + work: person who organizes the work)|BLUE
15419|mango|(pictograph, mango with stem + pit) - Character (superimposed)|YELLOW
15420|man-made,produced|(making,production,fashioning + description indicator)|GREEN
15421|map|(paper + earth: graphic representation of the earth)|YELLOW
15422|maple-leaf|(pictograph) - Character|YELLOW
15423|March|(month + 3: third month of the year)|YELLOW
15424|margarine|(spread + oil)|YELLOW
15425|marriage|(protection + combination,connection: joining together and living under one roof) - Character (superimposed - modified)|YELLOW
15426|marry-(to)|(marriage + action indicator)|RED
15427|mash,crush,squeeze,squash_(food)-(to)|(mash,mush,pulp_(food) + action indicator: to crush food)|RED
15428|mask,false_face|(face + fantasy,phantasy,imagination,illusion)|YELLOW
15429|masturbation|(genitals + to touch + pleasure)|YELLOW
15430|match|(linear thing + fire + thing indicator)|YELLOW
15431|material,raw_material,stuff|(thing + earth [half-sized]: thing that you get from the earth, i.e., raw material. The symbol is also used for material in a general sense.) - Character (superimposed)|YELLOW
15432|mathematics,arithmetic,math_(2)|(science + digits_(computer): science of numbers) - Character (superimposed) SYMBOL SYNONYM|YELLOW
15433|maturation|(to advance + adult: advancing toward adulthood)|YELLOW
15434|matzo|(bread + low: unleavened bread eaten on Passover)|YELLOW
15435|May|(month + 5: fifth month of the year)|YELLOW
15436|possibility|(being_(state_of) + what,question_mark: expression that indicates doubt or uncertainty)|YELLOW
15437|congratulate-(to)|(congratulations + action indicator)|RED
15438|meal|(group of + food: group of foods served and eaten in a single sitting)|YELLOW
15439|mean,cruel|(feeling + sharp + description indicator: sharp or “cutting” in one’s manner)|GREEN
15440|mean,signify-(to)|(meaning + action indicator)|RED
15441|meaning,sense,significance|(to think + to say + to write: significance the mind attaches to what is spoken or written) - Character (superimposed)|YELLOW
15442|measure-(to)|(measurement + action indicator)|RED
15443|measurement,measure|(length,longness + shortness_(distance,length): combination of long and short) - Character (superimposed - combined)|YELLOW
15444|meat|(food + animal: food that comes from an animal)|YELLOW
15445|meatball|(meat + ball: meat shaped into a ball)|YELLOW
15446|medical,medically|(medicine,medical_practice + description indicator)|GREEN
15447|medical_insurance|(insurance + medical: protection against unpredictable future medical expense)|YELLOW
15448|medicine,medication|(chemical product + medical)|YELLOW
15449|meet,encounter,see-(to)|(meeting,encounter + action indicator)|RED
15450|meeting,assembly,conference|(gathering + discussion)|YELLOW
15451|Megillah_(Book_of_Esther)|(pictograph: symbol suggests a scroll on one post) - Character|YELLOW
15452|melon|(fruit [modification]: pictograph showing a fruit with a thick rind and a stem) - Character (modified) |YELLOW
15453|menopause|(end + menstruation)|YELLOW
15454|menorah|(pictograph: symbol suggests the nine branched candelabra used on Chanukah) - Character|YELLOW
15455|menstruation,menstrual_period,period|(liquid + uterus + month)|YELLOW
15456|mental,intellectual,rational,thinking|(mind + description indicator)|GREEN
15457|disabled,handicapped_(intellectually,mentally)_(OLD)|(limit(s),limitation_(OLD) + mind + description indicator: having limits to one's mental abilities) SUPERSEDED SYNONYM See disabled,impaired,handicapped_(intellectually,mentally) 25994|GREEN
15458|merry-go-round,carousel|(to circle + happy + thing indicator: thing to enjoy by going around and around)|YELLOW
15459|metal|(material + metal_bar)|YELLOW
15460|metaphor|"(mouth [modification, up in the sky] + flower [modification, longer stem] + earth [half-sized] [combination]: ""flowery speech"", a signal that what follows should not be taken literally) - Character (superimposed - modified - combined)"|YELLOW
15461|mezuzah|(part of + Torah + door)|YELLOW
15462|microwave-(to)|(microwave oven + action indicator)|RED
15463|microwave_oven|(enclosure + electromagnetic radiation) - Character (superimposed)|YELLOW
15464|middle,centre|(enclosure + pointer, to centre) - Character (superimposed - pointer)|YELLOW
15465|midsummer|(day + most + sun)|YELLOW
15466|military_plane|(airplane + war)|YELLOW
15467|military_reserve_duty|(limited time + soldier: service as a soldier for a limited time only)|YELLOW
15468|milk|(drink + life: drink that sustains life)|YELLOW
15469|milkman|(person + milk)|BLUE
15470|milkshake_(OLD)|(milk + to shake)|YELLOW
15471|mind,intellect,reason|(symbol suggests an outline of a skull) - Character|YELLOW
15472|mine|(mountain + dot: dot locates the position of a mine deep within the mountain) - Character (superimposed)|YELLOW
15473|minister,pastor,preacher,priest,rabbi|(person + to teach + God: person who gives us knowledge about God)|BLUE
15474|minus,no,without|(subtraction [half-sized]: the small meaning of subtraction. The symbol is used before another symbol to create a negative meaning, e.g. (minus + sound) to represent silence.) - Character|WHITE
15475|minute|(time + apostrophe, used in astronomy to indicate a minute)|YELLOW
15476|arrow_(bent)|(pictograph: arrow bent into another direction as if reflected) - Character|YELLOW
15477|miscarriage,abortion_(spontaneous)|(miscarriage,abortion_(general) + woman: cancelled human pregnancy due to the natural death of an embryo)|YELLOW
15478|miss,lose-(to)|(loss + action indicator)|RED
15479|mistake,error,fault|(action + incorrect)|YELLOW
15480|mite,tick|(spider + little: tiny spider-like insect)|YELLOW
15481|mix,blend-(to)|(mixture + action indicator)|RED
15482|recreation_room,moadan|(room + happiness: room for social gatherings) (Israel)|YELLOW
15483|Monday_(OLD)|(day + 2: second day of the week - based on the convention of Sunday being the first) SUPERSEDED SYNONYM See Monday_(day1) 25113, Monday_(day2) 25114, Monday_(day3) 25115|YELLOW
15484|money,cash|(symbol suggests a modified rod of Mercury, the traditional symbol for trade and commerce) - Character|YELLOW
15485|monkey,ape,gorilla,primate|(animal + similar to + person: animal that resembles a person)|YELLOW
15486|monster|(creature + strange + thing indicator: creature that is strange or unusual)|YELLOW
15487|congratulations,best_of_luck,mazel_tov|(command + luck)|GRAY
15649|month|(moon [modification, as of half-moon]) - Character (modified)|YELLOW
15650|mood|(state_of_mind + feeling: state of one’s mind and emotions)|YELLOW
15651|moon|(pictograph: crescent shape resembling the curved shape of the moon in its first quarters) - Character|YELLOW
15652|moose,elk|(cervine_(animal) + big)|YELLOW
15653|moral,good,right,morally_right|(good_conscience + intensity + description indicator: can also be seen as a combination of conscience + positive) See also: correct,accurate,good,right 13416 and good,well,fine,ok,okay,all_right 14463.|GREEN
15654|more|(comparative_more + description indicator: much/many on a higher level)|GREEN
15655|morning_(before_noon)|(day + before + 12: part of the day before noon)|YELLOW
15656|morning_(early)|(sun + earth [combination]: time when the sun appears above the horizon) - Character |YELLOW
15657|mortal|(death + description before the fact indicator: pertaining to beings who must eventually die)|GREEN
15658|moshav|(village + to work + together) (Israel)|YELLOW
15659|Muslim,Moslem,Islamic_(OLD)|(star + crescent moon + description indicator: the star and crescent are traditional symbols for Islam) |GREEN
15660|mosquito,gadfly,horsefly,cleg|(insect + to fly + to puncture: flying insect that punctures the skin)|YELLOW
15661|most,maximum|(superlative_most + description indicator: much/many on the highest level)|GREEN
15662|mother,mom,mommy,mum|(protection + woman: woman who gives protection to her family) - Character (superimposed)|BLUE
15663|mountain|(pictograph: symbol suggests the side view of a mountain slope) - Character|YELLOW
15664|mountain_berry,cowberry,lingonberry|(berry + mountain: berry that grows in uplands)|YELLOW
15665|mouse|(rodent + little: rodent that is smaller than a rat)|YELLOW
15666|mouth|(pictograph: symbol suggests a round open mouth) - Character|YELLOW
15667|move-(to)|(move,movement + action indicator: the wheel moves by rolling over the ground)|RED
15668|move_bowels,defecate,stool,shit,ca-ca-(to)|(bowel movement + action indicator)|RED
15669|movie,film|(cylinder + projector)|YELLOW
15670|movie_theatre,cinema|(building + projector)|YELLOW
15671|much,many,very|(group_of,much_of,many_of,quantity_of + description indicator)|GREEN
15672|mud,clay|(earth [modification, extended line] + water_(ground_level): mixture composed of more earth than water) - Character (superimposed - modified)|YELLOW
15673|multiplication|(based upon the international mathematical symbol) - Character|YELLOW
15674|multiply-(to)|(multiplication + action indicator)|RED
15675|multitude|(multiplication + thing indicator: large number of people or things. The symbol is the concrete form of multiplication.) - (character with thing indicator)|YELLOW
15676|muscle_(OLD)|(arm + pictograph of bulging biceps + pointer) - Character (superimposed - pointer) SUPERSEDED SYNONYM and SUPERSEDED CHARACTER See muscle 20517|YELLOW
15677|museum|(building + thing + interesting + plural indicator: building where interesting things are displayed)|YELLOW
15678|mushroom|(pictograph) - Character|YELLOW
15679|music|(ear + musical note)|YELLOW
15680|musical_group|(group_(people) + musical note)|BLUE
15681|musical_instrument|(instrument + musical note)|YELLOW
15682|musical_note,music_(in_combinations)|(international symbol) - Character|YELLOW
15683|musician|(person + musical note: person who makes music)|BLUE
15684|muskrat|(water_animal + rodent [combination]: rodent at home in water)|YELLOW
15685|must,have_to,be_forced_to-(to)|(must_(a) + action indicator) - Note, original derivation in BRG is: (to force + passive indicator: to be forced to do something)|RED
15686|my,mine|(I + belongs to: first person singular, possessive)|BLUE
15687|my,mine-(feminine)|(female + 1 + belongs to: first person singular (f.), possessive)|BLUE
15688|my,mine-(masculine)|(male + 1 + belongs to: first person singular (m.), possessive)|BLUE
15689|nail|(pictograph: symbol suggests a nail. It is twice the height of the pin symbol) - Character|YELLOW
15690|nail_polish,nail_varnish|(colour + plus + finger: colour added to fingernails)|YELLOW
15691|name,label,term,title|(pen + mouth: something that can be spoken or written) - Character (superimposed)|YELLOW
15692|napkin,serviette|(cloth + to eat)|YELLOW
15693|narrow|(opposite meaning + wide + description indicator)|GREEN
15694|naughty|(bad + comma + little + description indicator)|GREEN
15695|naughty,not_nice|(feeling + incorrect + description indicator)|GREEN
15696|navy|(group_(people) + war + water: group trained for war at sea)|YELLOW
15697|near,almost,close,nearly|(nearness,closeness,proximity + description indicator)|GREEN
15698|necessary,necessarily,needed|(need + description indicator)|GREEN
15699|neck_(head)|(head + pictograph of neck + pointer, to neck) - Character (superimposed - pointer)|YELLOW
15700|neck_(body)|(body + pointer, to neck) - Character (superimposed - pointer)|YELLOW
15701|need_(needy_person)|(person, leaning, as if in need of support) - Character|YELLOW
15702|need-(to)|(need + action indicator: the leaning person needs support)|RED
15703|needle|(pictograph: symbol suggests a sewing needle with an eye) - Character|YELLOW
15704|hypodermic_needle|(hypodermic_needlepoint + thing indicator: or semantically more reasonable; syringe + pointer, to needlepoint) - (character with thing indicator)|YELLOW
15705|neighbour|(person + to live + near)|BLUE
15706|neither|(minus + either)|WHITE
15707|nephew|(son + sibling: son of one's brother or sister)|BLUE
15708|Netherlands_(The),Holland|(country + low)|YELLOW
15709|never_(OLD)|(opposite meaning + always + description indicator) SUPERSEDED SYNONYM See never 23906|GREEN
15710|new|(newness,novelty + description indicator)|GREEN
15711|New_Year's_Day|(birthday + year: day that a new year is born)|YELLOW
15712|news|(eye + ear: information received through the eye and the ear) - Character (superimposed)|YELLOW
15713|newspaper,bulletin,newsletter|(page + news)|YELLOW
15714|next|(first + after + description indicator: coming directly after)|GREEN
